System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 EML
Machine Name:	 EML-DESKTOP1

Data properties:

Recording name:	 Rec 03
Recording date:	 5/15/2009
Recording time:	 12:38:01 PM
Recording resolution:	 1600 x 1200

Export date:	 5/15/2009
Export time:	 2:15:05 PM

Participant:	 P03-Martin
Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
0																					ImageStart	8	0	0	statemap.jpg																	
26	12:38:01.026	00:00:00.025	0	810.0916	611.8719	0.6115003	0.4240648	552.257	2.606909	0	800.6344	609.6873	0.4221067	0.4284348	551.6631	2.573037	0	2	805	611						statemap.jpg	0	1600	988	0	106	803	514	350	16	KN		805	505	25657	2957241527	
42	12:38:01.042	00:00:00.042	1	797.049	614.2181	0.6115764	0.4242019	552.2714	2.62283	0	813.3401	626.0782	0.4222048	0.428522	551.5246	2.56232	0	2	805	620						statemap.jpg	0	1600	988	0	106	803	514	350	16	KN		805	514	42279	2957258149	
59	12:38:01.059	00:00:00.058	2	780.314	621.6474	0.6116471	0.4242904	552.2614	2.632688	0	799.3293	633.982	0.4222904	0.4286048	551.5774	2.62664	0	2	790	628						statemap.jpg	0	1600	988	0	106	803	514	350	16	KN		790	522	58904	2957274774	
76	12:38:01.076	00:00:00.075	3	783.9333	617.9555	0.6117676	0.4241813	552.1833	2.643961	0	818.2488	593.1948	0.4223597	0.4285203	551.5097	2.548373	0	2	801	606						statemap.jpg	0	1600	988	0	106	803	514	350	16	KN		801	500	75523	2957291393	
92	12:38:01.092	00:00:00.092	4	800.3381	603.2643	0.6118544	0.4240421	552.1863	2.655541	0	817.797	588.3267	0.4224223	0.4284157	551.4149	2.541447	0	2	809	596						statemap.jpg	0	1600	988	0	106	803	514	350	16	KN		809	490	92274	2957308144	
109	12:38:01.109	00:00:00.108	5	812.5698	601.2551	0.6119347	0.4241128	552.2474	2.621479	0	819.8605	628.0764	0.4225228	0.4284912	551.6872	2.570598	0	2	816	615						statemap.jpg	0	1600	988	0	106	803	514	350	16	KN		816	509	108899	2957324769	
126	12:38:01.126	00:00:00.125	6	798.8711	610.7067	0.6119954	0.4242226	552.2313	2.641332	0	812.9834	615.7743	0.4225823	0.4285881	551.7042	2.602928	0	2	806	613						statemap.jpg	0	1600	988	0	106	803	514	350	16	KN		806	507	125524	2957341394	
142	12:38:01.142	00:00:00.142	7	791.6072	620.473	0.6120595	0.4242498	552.2882	2.663209	0	805.7527	610.5713	0.4226401	0.428587	551.7433	2.538481	0	2	799	616						statemap.jpg	0	1600	988	0	106	803	514	350	16	KN		799	510	142141	2957358011	
159	12:38:01.159	00:00:00.158	8	779.144	623.4072	0.6121212	0.4242336	552.3104	2.684375	0	814.4806	635.9734	0.422754	0.4285502	551.658	2.624377	0	2	797	630						statemap.jpg	0	1600	988	0	106	803	514	350	16	KN		797	524	158896	2957374766	
