Data properties:

Recording date: 5/15/2009
Recording time: 12:33:48:000 (corresponds to time 0)
Study: PoPAnalyst-static-image
Subject: P02-arzu
Recording: Rec 02
Screen resolution: 1600 x 1200
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: ClearView fixation filter
Fixation radius: 50
Min duration: 100

Timestamp	StimuliName	AoiNames	GazePointX	GazePointY	FixationDuration	
27	statemap.jpg	MO	816	633	333	
43	statemap.jpg	MO	814	630	333	
60	statemap.jpg	MO	811	636	333	
77	statemap.jpg	MO	809	623	333	
93	statemap.jpg	MO	817	620	333	
110	statemap.jpg	MO	815	623	333	
127	statemap.jpg	KN	763	609	266	
143	statemap.jpg	KN	765	594	266	
160	statemap.jpg	KN	762	602	266	
176	statemap.jpg	KN	760	597	266	
193	statemap.jpg	KN	747	601	266	
210	statemap.jpg	KN	764	608	266	
226	statemap.jpg	KN	755	608	266	
243	statemap.jpg	KN	751	611	266	
260	statemap.jpg	KN	765	594	266	
276	statemap.jpg	KN	750	600	266	
293	statemap.jpg	KN	755	591	266	
310	statemap.jpg	KN	750	602	266	
326	statemap.jpg	KN	752	604	266	
343	statemap.jpg	KN	743	613	266	
360	statemap.jpg	KN	753	603	266	
376	statemap.jpg	KN	754	594	266	
393	statemap.jpg	Content	682	556		
410	statemap.jpg	Content	631	538		
426	statemap.jpg	Content	626	519		
443	statemap.jpg	Content	0	0		
460	statemap.jpg	Content	0	0		
476	statemap.jpg	Content	0	0		
493	statemap.jpg	Content	431	406		
510	statemap.jpg	Content	418	397		
526	statemap.jpg	Content	416	389		
543	statemap.jpg	Content	416	391		
560	statemap.jpg	Content	387	380		
576	statemap.jpg	WA	248	286	883	
593	statemap.jpg	WA	204	267	883	
610	statemap.jpg	WA	208	252	883	
626	statemap.jpg	WA	206	245	883	
643	statemap.jpg	WA	208	259	883	
660	statemap.jpg	WA	206	262	883	
676	statemap.jpg	WA	217	261	883	
693	statemap.jpg	WA	210	255	883	
