Data properties:

Recording date: 5/15/2009
Recording time: 12:38:01:000 (corresponds to time 0)
Study: PoPAnalyst-static-image
Subject: P03-Martin
Recording: Rec 03
Screen resolution: 1600 x 1200
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: ClearView fixation filter
Fixation radius: 50
Min duration: 100

Timestamp	StimuliName	AoiNames	GazePointX	GazePointY	FixationDuration	
26	statemap.jpg	KN	805	611	566	
42	statemap.jpg	KN	805	620	566	
59	statemap.jpg	KN	790	628	566	
76	statemap.jpg	KN	801	606	566	
92	statemap.jpg	KN	809	596	566	
109	statemap.jpg	KN	816	615	566	
126	statemap.jpg	KN	806	613	566	
142	statemap.jpg	KN	799	616	566	
159	statemap.jpg	KN	797	630	566	
176	statemap.jpg	KN	802	625	566	
192	statemap.jpg	KN	791	624	566	
209	statemap.jpg	KN	804	615	566	
226	statemap.jpg	KN	803	613	566	
242	statemap.jpg	KN	815	622	566	
259	statemap.jpg	KN	803	633	566	
275	statemap.jpg	KN	803	629	566	
292	statemap.jpg	Content	654	513		
309	statemap.jpg	Content	506	418		
325	statemap.jpg	Content	506	418		
342	statemap.jpg	Content	503	429		
359	statemap.jpg	Content	495	426		
375	statemap.jpg	Content	395	355		
392	statemap.jpg	WA	233	276	133	
409	statemap.jpg	WA	199	280	133	
425	statemap.jpg	WA	184	238	133	
442	statemap.jpg	WA	207	237	133	
459	statemap.jpg	WA	198	262	133	
475	statemap.jpg	WA	200	246	133	
492	statemap.jpg	WA	216	262	133	
509	statemap.jpg	WA	200	239	133	
525	statemap.jpg	Content	0	0		
542	statemap.jpg	Content	0	0		
559	statemap.jpg	Content	0	0		
575	statemap.jpg	WA	171	170	133	
592	statemap.jpg	WA	160	187	133	
608	statemap.jpg	WA	181	195	133	
625	statemap.jpg	WA	166	193	133	
642	statemap.jpg	WA	170	198	133	
658	statemap.jpg	WA	169	194	133	
675	statemap.jpg	WA	161	199	133	
692	statemap.jpg	WA	164	219	133	
708	statemap.jpg	WA	186	163	283	
725	statemap.jpg	WA	181	198	283	
742	statemap.jpg	WA	185	174	283	
758	statemap.jpg	WA	178	168	283	
775	statemap.jpg	WA	182	165	283	
792	statemap.jpg	WA	182	171	283	
808	statemap.jpg	WA	187	170	283	
825	statemap.jpg	WA	185	171	283	
842	statemap.jpg	WA	196	171	283	
858	statemap.jpg	WA	184	170	283	
875	statemap.jpg	WA	188	166	283	
892	statemap.jpg	WA	183	162	283	
908	statemap.jpg	WA	177	174	283	
925	statemap.jpg	WA	189	179	283	
942	statemap.jpg	WA	197	172	283	
958	statemap.jpg	WA	185	166	283	
975	statemap.jpg	WA	199	177	283	
992	statemap.jpg	OR	149	264	533	
1008	statemap.jpg	OR	164	296	533	
1025	statemap.jpg	OR	164	294	533	
1042	statemap.jpg	OR	153	302	533	
1058	statemap.jpg	OR	143	297	533	
1075	statemap.jpg	OR	166	318	533	
1092	statemap.jpg	OR	164	298	533	
1108	statemap.jpg	OR	158	308	533	
